county,t_start,t_end,Mean R0,Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date,cases,new.cases,name,code,Risk,Risk (Interval),yintercept,yyyy.mm.dd
Adams,2,8,2.345156468861374,1.6582760420753762,0.2840093281978128,0.4166891727996588,5.562552281352804,1.9679931503157941,5.562552281352804,5.562552281352804,6.533187770224538,1586390400000,2,0,Adams County,adams,High,Low-High,1,2020-04-09
Adams,3,9,1.8858481560493132,1.333496019430616,0.22838496066008532,0.335078924840985,4.473104077277316,1.5825537881669176,4.473104077277316,4.473104077277316,5.253636707483231,1586476800000,2,0,Adams County,adams,High,Low-High,1,2020-04-10
Adams,4,10,1.5955655329574518,1.1282352081817422,0.1932303883036206,0.2835012891052379,3.7845733592819033,1.3389563048067343,3.7845733592819033,3.7845733592819033,4.444961078256143,1586563200000,2,0,Adams County,adams,High,Low-High,1,2020-04-11
Adams,5,11,1.4394501294597666,1.0178449477208547,0.17432408867823346,0.2557625862901036,3.414278197568455,1.207948396028946,3.414278197568455,3.414278197568455,4.010051400195325,1586649600000,2,0,Adams County,adams,High,Low-High,1,2020-04-12
Adams,6,12,1.3713098021416776,0.9696624602019631,0.16607197891850148,0.24365536146247493,3.2526539570505535,1.1507668394024138,3.2526539570505535,3.2526539570505535,3.820224598016203,1586736000000,3,1,Adams County,adams,High,Low-High,1,2020-04-13
Adams,7,13,1.3572137604260557,0.9596950535169584,0.16436488287136827,0.24115076612300754,3.2192191009783073,1.1389378148101321,3.2192191009783073,3.2192191009783073,3.7809555391845806,1586822400000,3,0,Adams County,adams,High,Low-High,1,2020-04-14
Adams,8,14,1.3751706800167696,0.9723925131287737,0.16653954914083766,0.24434136515963278,3.2618116978312974,1.154006785782655,3.2618116978312974,3.2618116978312974,3.830980315364192,1586908800000,3,0,Adams County,adams,High,Low-High,1,2020-04-15
Adams,9,15,1.4105131205633568,0.9973833925029479,0.1708196826542236,0.2506210366918392,3.3456415726824393,1.1836652251382587,3.3456415726824393,3.3456415726824393,3.9294380530097137,1586995200000,3,0,Adams County,adams,High,Low-High,1,2020-04-16
Adams,10,16,2.179679002723695,1.2584382589695005,0.44950221194867857,0.594101626030007,4.57426972102538,1.9428643726133275,4.57426972102538,4.57426972102538,5.249166670191581,1587081600000,4,1,Adams County,adams,High,Low-High,1,2020-04-17
Adams,11,17,2.2420837196667653,1.2944676390952843,0.46237156485196795,0.611110893799019,4.705232127327015,1.9984890316021993,4.705232127327015,4.705232127327015,5.399451533160382,1587168000000,4,0,Adams County,adams,High,Low-High,1,2020-04-18
